"","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","q1","q2","q3","q4","q7","q8","q6","q5","q9","q3_0","q26","q11","q27","q28","q28_0","q49_1","q49_2","q49_3","q41","q15","q16","q17","q17_text","q39","q31","q32","q33","q38","q36_1","q42","q37","q8_0","q9_0","q10","q11_0","q11_text","q12","q12_text","q13","q18","q19","do_br_fl_2","do_bl_50f_50m","do_bl_governmentarchitecture","time","filter__","rep","chief","second","third","direct","mmff","mfmf","mffm","fmmf","fmfm","ffmm","easy","mid","hard","plastics","light","heavy","gender","race","age","income"
"441","R_9GiGAEsSKduZMr3","Default Response Set","Anonymous","","","","0",41659.18359375,41659.1875,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"philippines",NA,"a small city or town","",1,1,NA,NA,NA,39,1,"less than $1000",1,"25-34","male","asian or pacific islander","","bachelors degree","","less than $10,000","liberal","","50F/50M","Q8|Q26","Q39|Q31|Q36|Q42|Q37",372,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,100,100,100,1,1,1,"male","asian or pacific islander","25-34","less than $10,000"
"444","R_9EVDYndWtwzSqZT","Default Response Set","Anonymous","","","","0",41659.1875,41659.19140625,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,100,60,72,1,"united states","california","a suburban near a large city","",1,NA,NA,NA,1,45,1,"$1,000 to $4,000",1,"25-34","female","white","","graduate or professional degree","","$50,000 to under $75,000","moderate","","50F/50M","Q7|Q26","Q39|Q38|Q36|Q42|Q37",110,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,100,60,72,1,0,0,"female","white","25-34","$50,000 to under $75,000"
"446","R_b3p2ZLWbWSGYnjL","Default Response Set","Anonymous","","","","0",41659.19140625,41659.1953125,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,100,100,100,1,"united states","pennsylvania","a suburban near a large city","",1,1,NA,NA,NA,48,1,"less than $1000",1,"45-54","female","white","","some college, no degree","","$25,000 to under $50,000","moderate","","50F/50M","Q9|Q26","Q39|Q31|Q36|Q42|Q37",205,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,100,100,100,1,1,1,"female","white","45-54","$25,000 to under $50,000"
"449","R_0HxGm2fXDb28D7n","Default Response Set","Anonymous","","","","0",41659.19921875,41659.203125,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"seychelles",NA,"a small city or town","",1,NA,NA,NA,1,50,1,"less than $1000",1,"45-54","female","other","","graduate or professional degree","","i' rather not say","moderate","thanks for the survey li","50F/50M","Q8|Q26","Q39|Q38|Q36|Q42|Q37",468,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,100,100,100,1,1,1,"female","other","45-54","i' rather not say"
"454","R_bJJZ72wkox6Gu7b","Default Response Set","Anonymous","","","","0",41659.20703125,41659.2109375,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,90,89,73,1,"australia",NA,"a small city or town","",1,1,NA,NA,NA,41,1,"$1,000 to $4,000",1,"20-24","male","black or african american","","some college, no degree","","$25,000 to under $50,000","moderate","","50F/50M","Q7|Q26","Q39|Q31|Q36|Q42|Q37",514,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,90,89,73,0,0,0,"male","black or african american","20-24","$25,000 to under $50,000"
"457","R_aYwbkjP3WsFwebP","Default Response Set","Anonymous","","","","0",41659.20703125,41659.20703125,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,100,100,100,1,"united states","south carolina","a suburban near a large city","",1,NA,NA,NA,1,60,1,"less than $1000",1,"25-34","female","white","","associate degree","","$50,000 to under $75,000","liberal","","50F/50M","Q5|Q26","Q39|Q38|Q36|Q42|Q37",70,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,100,100,100,1,1,1,"female","white","25-34","$50,000 to under $75,000"
"458","R_eJyYsU6XmraVPZr","Default Response Set","Anonymous","","","","0",41659.2109375,41659.2109375,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,67,73,62,1,"united states","indiana","a small city or town","",1,NA,NA,NA,1,71,1,"$25,000 to $29,999",1,"25-34","female","white","","high school graduate (includes equivalency)","","$25,000 to under $50,000","conservative","thanks","50F/50M","Q7|Q26","Q39|Q38|Q36|Q42|Q37",149,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,67,73,62,0,0,0,"female","white","25-34","$25,000 to under $50,000"
"462","R_8lgFT5F3R4L5qYJ","Default Response Set","Anonymous","","","","0",41659.21484375,41659.21484375,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,1,"india",NA,"a large city","",1,NA,NA,1,NA,NA,1,"$30,000 to $39,999",1,"25-34","female","asian or pacific islander","","graduate or professional degree","","$50,000 to under $75,000","moderate","","50F/50M","Q3|Q26","Q39|Q33|Q36|Q42|Q37",233,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,"female","asian or pacific islander","25-34","$50,000 to under $75,000"
"465","R_bDHck3gPDiHRUOx","Default Response Set","Anonymous","","","","0",41659.21875,41659.22265625,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,100,51,1,"united states","hawaii","a suburban near a large city","",1,NA,1,NA,NA,50,1,"$1,000 to $4,000",1,"55-59","female","other","mixed race","high school graduate (includes equivalency)","","$100,000 to under $150,000","liberal","trust in the government","50F/50M","Q6|Q26","Q39|Q32|Q36|Q42|Q37",269,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,100,51,1,1,0,"female","other","55-59","$100,000 to under $150,000"
"470","R_eLtGyjG9Is0yfwV","Default Response Set","Anonymous","","","","0",41659.23046875,41659.234375,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,99,51,52,1,"united states","pennsylvania","a small city or town","",1,NA,1,NA,NA,30,1,"less than $1000",1,"60-64","female","white","","9th to 12th grade, no diploma","","less than $10,000","liberal","","50F/50M","Q8|Q26","Q39|Q32|Q36|Q42|Q37",517,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,99,51,52,0,0,0,"female","white","60-64","less than $10,000"
"473","R_bjVEtCvEPIy80Bf","Default Response Set","Anonymous","","","","0",41659.234375,41659.234375,0,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,69,51,50,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","50F/50M","Q8|Q26","",111,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,69,51,50,0,0,0,NA,NA,NA,NA
"475","R_41MAojTXQe4mxlX","Default Response Set","Anonymous","","","","0",41659.234375,41659.23828125,0,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,100,100,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","50F/50M","Q6|Q26","",277,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,100,100,1,1,1,NA,NA,NA,NA
"478","R_2lYjaiSvQeusDAh","Default Response Set","Anonymous","","","","0",41659.23828125,41659.2421875,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,100,100,100,1,"philippines",NA,"a small city or town","",1,NA,1,NA,NA,40,1,"less than $1000",1,"25-34","female","asian or pacific islander","","some college, no degree","","$10,000 to under $25,000","moderate","thank you so much.hope t","50F/50M","Q5|Q26","Q39|Q32|Q36|Q42|Q37",453,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,100,100,100,1,1,1,"female","asian or pacific islander","25-34","$10,000 to under $25,000"
"481","R_bJDSqdGBTjGj2tL","Default Response Set","Anonymous","","","","0",41659.23828125,41659.2421875,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,99,100,99,1,"united states","texas","a large city","",1,NA,NA,NA,1,8,1,"less than $1000",1,"25-34","female","white","","associate degree","","$50,000 to under $75,000","very conservative","","50F/50M","Q3|Q26","Q39|Q38|Q36|Q42|Q37",59,0,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,99,100,99,0,1,0,"female","white","25-34","$50,000 to under $75,000"
"486","R_7UuJFsjemYxtYFv","Default Response Set","Anonymous","","","","0",41659.24609375,41659.25,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,100,100,100,1,"india",NA,"other","A Cosmopolitan city",1,NA,1,NA,NA,3,1,"$1,000 to $4,000",1,"35-44","male","other","Indian","graduate or professional degree","","$50,000 to under $75,000","moderate","Very Interesting","50F/50M","Q3|Q26","Q39|Q32|Q36|Q42|Q37",271,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,100,100,100,1,1,1,"male","other","35-44","$50,000 to under $75,000"
"489","R_0VbbInw5A0Ji41n","Default Response Set","Anonymous","","","","0",41659.24609375,41659.25390625,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,70,70,70,1,"indonesia",NA,"a small city or town","",1,NA,1,NA,NA,61,1,"less than $1000",1,"25-34","male","asian or pacific islander","","high school graduate (includes equivalency)","","less than $10,000","conservative","","50F/50M","Q3|Q26","Q39|Q32|Q36|Q42|Q37",477,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,70,70,70,0,0,0,"male","asian or pacific islander","25-34","less than $10,000"
"490","R_555wS5Sg1sVYuhv","Default Response Set","Anonymous","","","","0",41659.24609375,41659.25,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,70,70,60,1,"india",NA,"a large city","",1,NA,1,NA,NA,69,1,"less than $1000",1,"25-34","male","asian or pacific islander","","bachelors degree","","less than $10,000",NA,"fantastic","50F/50M","Q7|Q26","Q39|Q32|Q36|Q42|Q37",114,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,70,70,60,0,0,0,"male","asian or pacific islander","25-34","less than $10,000"
"491","R_5jyJIA0PQohRufz","Default Response Set","Anonymous","","","","0",41659.24609375,41659.25390625,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,100,100,100,1,"united states","michigan","a suburban near a large city","",1,1,NA,NA,NA,33,1,"less than $1000",1,"60-64","female","white","","high school graduate (includes equivalency)","","$10,000 to under $25,000","moderate","","50F/50M","Q5|Q26","Q39|Q31|Q36|Q42|Q37",597,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,100,100,100,1,1,1,"female","white","60-64","$10,000 to under $25,000"
"495","R_834qZk8NQBvTNyd","Default Response Set","Anonymous","","","","0",41659.25,41659.25390625,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,"israel",NA,"a suburban near a large city","",1,NA,NA,1,NA,50,1,"less than $1000",1,"45-54","male","white","","high school graduate (includes equivalency)","","less than $10,000","liberal","","50F/50M","Q7|Q26","Q39|Q33|Q36|Q42|Q37",197,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"male","white","45-54","less than $10,000"
"500","R_1H0XN0Ut8Y4lMUZ","Default Response Set","Anonymous","","","","0",41659.2578125,41659.2578125,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,88,90,90,1,"india",NA,"a suburban near a large city","",1,NA,1,NA,NA,89,1,"$25,000 to $29,999",1,"25-34","male","asian or pacific islander","","graduate or professional degree","","$25,000 to under $50,000","liberal","","50F/50M","Q6|Q26","Q39|Q32|Q36|Q42|Q37",154,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,88,90,90,0,0,0,"male","asian or pacific islander","25-34","$25,000 to under $50,000"
"501","R_8rgziVysO2DsPLD","Default Response Set","Anonymous","","","","0",41659.2578125,41659.28125,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,100,94,99,1,"uganda",NA,"a large city","",1,1,NA,NA,NA,71,1,"$1,000 to $4,000",1,"25-34","male","other","black african","bachelors degree","","less than $10,000","moderate","its was governance orien","50F/50M","Q7|Q26","Q39|Q31|Q36|Q42|Q37",2038,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,100,94,99,1,0,0,"male","other","25-34","less than $10,000"
"506","R_5jcDOstjDT6GytD","Default Response Set","Anonymous","","","","0",41659.265625,41659.265625,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"united states","california","a suburban near a large city","",1,NA,1,NA,NA,70,1,"$1,000 to $4,000",1,"25-34","female","white","","some college, no degree","","$50,000 to under $75,000","very liberal","","50F/50M","Q6|Q26","Q39|Q32|Q36|Q42|Q37",154,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,100,100,1,1,1,"female","white","25-34","$50,000 to under $75,000"
"508","R_3vXR9qE3FsYuVdb","Default Response Set","Anonymous","","","","0",41659.265625,41659.265625,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,42,33,32,1,"united states","north carolina","a small city or town","",1,NA,NA,1,NA,0,1,"$15,000 to $19,999",1,"35-44","female","white","","high school graduate (includes equivalency)","","$10,000 to under $25,000","liberal","thank you","50F/50M","Q7|Q26","Q39|Q33|Q36|Q42|Q37",96,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,42,33,32,0,0,0,"female","white","35-44","$10,000 to under $25,000"
"510","R_4MWL6MPX44cHI8t","Default Response Set","Anonymous","","","","0",41659.265625,41659.26953125,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"greece",NA,"a large city","",1,NA,NA,NA,1,20,1,"$1,000 to $4,000",1,"35-44","female","white","","bachelors degree","","$10,000 to under $25,000","moderate","","50F/50M","Q6|Q26","Q39|Q38|Q36|Q42|Q37",296,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,100,100,1,1,1,"female","white","35-44","$10,000 to under $25,000"
"514","R_eIJ9B8awZK8jvKt","Default Response Set","Anonymous","","","","0",41659.2734375,41659.27734375,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"australia",NA,"a rural area","",1,NA,NA,NA,1,9,1,"less than $1000",1,"25-34","female","white","","some college, no degree","","$25,000 to under $50,000","moderate","","50F/50M","Q7|Q26","Q39|Q38|Q36|Q42|Q37",447,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,100,100,100,1,1,1,"female","white","25-34","$25,000 to under $50,000"
"518","R_8BvyNtp1gFxzVVr","Default Response Set","Anonymous","","","","0",41659.28125,41659.28125,0,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","50F/50M","Q5|Q26","",121,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"520","R_8GGcYrTCccVPLAV","Default Response Set","Anonymous","","","","0",41659.28515625,41659.28515625,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,91,63,82,1,"india",NA,"a large city","",1,NA,NA,1,NA,21,1,"less than $1000",1,"35-44","male","asian or pacific islander","","bachelors degree","","less than $10,000","moderate","none","50F/50M","Q7|Q26","Q39|Q33|Q36|Q42|Q37",189,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,91,63,82,0,0,0,"male","asian or pacific islander","35-44","less than $10,000"
"523","R_8nQ950zkINTqgqp","Default Response Set","Anonymous","","","","0",41659.2890625,41659.296875,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,29,40,100,1,"pakistan",NA,"a large city","",1,1,NA,NA,NA,61,1,"$1,000 to $4,000",1,"20-24","male","asian or pacific islander","","bachelors degree","","less than $10,000","moderate","","50F/50M","Q7|Q26","Q39|Q31|Q36|Q42|Q37",577,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,29,40,100,0,0,1,"male","asian or pacific islander","20-24","less than $10,000"
"527","R_6KEvGPLFyeFllnn","Default Response Set","Anonymous","","","","0",41659.296875,41659.30078125,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,100,49,5,1,"united states","new york","a large city","",1,NA,1,NA,NA,52,1,"$15,000 to $19,999",1,"60-64","male","white","","bachelors degree","","i' rather not say","moderate","The question on what amo","50F/50M","Q3|Q26","Q39|Q32|Q36|Q42|Q37",512,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,100,49,5,1,0,0,"male","white","60-64","i' rather not say"
"530","R_ea0kLcQsihtbsVf","Default Response Set","Anonymous","","","","0",41659.3125,41659.3125,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,96,93,94,1,"india",NA,"a suburban near a large city","",1,NA,NA,NA,1,75,1,"less than $1000",1,"35-44","female","asian or pacific islander","","bachelors degree","","less than $10,000","moderate","","50F/50M","Q3|Q26","Q39|Q38|Q36|Q42|Q37",164,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,96,93,94,0,0,0,"female","asian or pacific islander","35-44","less than $10,000"
"531","R_bmtW9M5tgomFSMl","Default Response Set","Anonymous","","","","0",41659.31640625,41659.33984375,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,83,69,84,1,"united states","california","a large city","",1,NA,1,NA,NA,80,1,"$15,000 to $19,999",1,"25-34","male","white","","bachelors degree","","$100,000 to under $150,000","moderate","","50F/50M","Q8|Q26","Q39|Q32|Q36|Q42|Q37",2125,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,83,69,84,0,0,0,"male","white","25-34","$100,000 to under $150,000"
"535","R_24YOdU5dZfwVBHf","Default Response Set","Anonymous","","","","0",41659.32421875,41659.328125,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,52,41,58,1,"bangladesh",NA,"a large city","",1,NA,1,NA,NA,40,1,"$10,000 to $14,999",1,"45-54","male","asian or pacific islander","","bachelors degree","","$50,000 to under $75,000","very liberal","","50F/50M","Q6|Q26","Q39|Q32|Q36|Q42|Q37",190,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,52,41,58,0,0,0,"male","asian or pacific islander","45-54","$50,000 to under $75,000"
"539","R_6KjWlOCjUBU5iaV","Default Response Set","Anonymous","","","","0",41659.3359375,41659.3359375,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,69,8,71,1,"singapore",NA,"a large city","",1,1,NA,NA,NA,73,1,"$1,000 to $4,000",1,"20-24","male","asian or pacific islander","","some college, no degree","","$75,000 to under $100,000","moderate","","50F/50M","Q5|Q26","Q39|Q31|Q36|Q42|Q37",167,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,69,8,71,0,0,0,"male","asian or pacific islander","20-24","$75,000 to under $100,000"
"542","R_agevcgDoZ3maUuh","Default Response Set","Anonymous","","","","0",41659.33984375,41659.34375,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,60,57,91,1,"india",NA,"a large city","",1,NA,1,NA,NA,9,1,"$10,000 to $14,999",1,"35-44","female","asian or pacific islander","","graduate or professional degree","","i' rather not say","moderate","gud","50F/50M","Q8|Q26","Q39|Q32|Q36|Q42|Q37",488,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,60,57,91,0,0,0,"female","asian or pacific islander","35-44","i' rather not say"
"543","R_5sZO4MFMQizW2kB","Default Response Set","Anonymous","","","","0",41659.33984375,41659.33984375,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,84,95,73,1,"united states","mississippi","a suburban near a large city","",1,1,NA,NA,NA,28,1,"less than $1000",1,"35-44","female","black or african american","","some college, no degree","","$25,000 to under $50,000","conservative","","50F/50M","Q6|Q26","Q39|Q31|Q36|Q42|Q37",145,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,84,95,73,0,0,0,"female","black or african american","35-44","$25,000 to under $50,000"
"548","R_3l7nM2eApKGMgdv","Default Response Set","Anonymous","","","","0",41659.359375,41659.36328125,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,91,83,80,1,"philippines",NA,"a small city or town","",1,NA,1,NA,NA,72,1,"less than $1000",1,"45-54","female","asian or pacific islander","","graduate or professional degree","","less than $10,000","moderate","The government will list","50F/50M","Q7|Q26","Q39|Q32|Q36|Q42|Q37",516,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,91,83,80,0,0,0,"female","asian or pacific islander","45-54","less than $10,000"
"552","R_8GiNJqwbdP7vA33","Default Response Set","Anonymous","","","","0",41659.36328125,41659.37109375,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,100,100,100,1,"india",NA,"a rural area","",1,1,NA,NA,NA,72,1,"less than $1000",1,"35-44","male","asian or pacific islander","","bachelors degree","","$10,000 to under $25,000","moderate","simple, user freindly","50F/50M","Q3|Q26","Q39|Q31|Q36|Q42|Q37",563,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,100,100,100,1,1,1,"male","asian or pacific islander","35-44","$10,000 to under $25,000"
"554","R_3EOyo93l1an4897","Default Response Set","Anonymous","","","","0",41659.3671875,41659.375,1,1,"",1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,"india",NA,"a large city","",1,NA,NA,NA,1,86,1,"less than $1000",1,"25-34","male","asian or pacific islander","","graduate or professional degree","","$50,000 to under $75,000","liberal","This was very short surv","50F/50M","Q5|Q26","Q39|Q38|Q36|Q42|Q37",509,1,"Q5|Q26",1,0,0,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,"male","asian or pacific islander","25-34","$50,000 to under $75,000"
"558","R_8k8vvfT67P5n5gV","Default Response Set","Anonymous","","","","0",41659.38671875,41659.38671875,1,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,100,100,100,1,"czech republic",NA,"a large city","",1,NA,NA,NA,1,19,1,"$5,000 to $9,999",1,"35-44","female","white","","graduate or professional degree","","$25,000 to under $50,000","liberal","","50F/50M","Q3|Q26","Q39|Q38|Q36|Q42|Q37",275,1,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,100,100,100,1,1,1,"female","white","35-44","$25,000 to under $50,000"
"559","R_b3dVHPIisIBBVHL","Default Response Set","Anonymous","","","","0",41659.390625,41659.39453125,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,91,94,88,1,"oman",NA,"a small city or town","",1,NA,NA,NA,1,88,1,"less than $1000",1,"35-44","female","asian or pacific islander","","bachelors degree","","$10,000 to under $25,000","moderate","","50F/50M","Q7|Q26","Q39|Q38|Q36|Q42|Q37",311,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,91,94,88,0,0,0,"female","asian or pacific islander","35-44","$10,000 to under $25,000"
"563","R_0quHR99hO7QOd0x","Default Response Set","Anonymous","","","","0",41659.40625,41659.40625,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"india",NA,"a large city","",1,NA,NA,1,NA,100,1,"$40,000 to $49,999",1,"25-34",NA,"asian or pacific islander","","graduate or professional degree","","$150,000 or more","liberal","iam exciting to particip","50F/50M","Q6|Q26","Q39|Q33|Q36|Q42|Q37",133,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,100,100,1,1,1,NA,"asian or pacific islander","25-34","$150,000 or more"
"565","R_ezFoSwLCU7GlpvD","Default Response Set","Anonymous","","","","0",41659.41015625,41659.41015625,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,92,72,81,1,"turkey",NA,"a large city","",1,NA,1,NA,NA,88,1,"$25,000 to $29,999",1,"25-34","male","black or african american","","high school graduate (includes equivalency)","","$50,000 to under $75,000","liberal","I want to take your surv","50F/50M","Q7|Q26","Q39|Q32|Q36|Q42|Q37",146,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,92,72,81,0,0,0,"male","black or african american","25-34","$50,000 to under $75,000"
"569","R_6fjfg4hsD2A4LAh","Default Response Set","Anonymous","","","","0",41659.41796875,41659.41796875,0,1,"",1,1,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","50F/50M","Q3|Q26","",47,0,"Q3|Q26",1,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"571","R_6LpmM7U3lvRk6qN","Default Response Set","Anonymous","","","","0",41659.41796875,41659.42578125,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,85,76,57,1,"united states","new york","a suburban near a large city","",1,NA,NA,NA,1,37,1,"$5,000 to $9,999",1,"35-44","male","black or african american","","some college, no degree","","$75,000 to under $100,000","liberal","I liked it straight to t","50F/50M","Q8|Q26","Q39|Q38|Q36|Q42|Q37",572,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,85,76,57,0,0,0,"male","black or african american","35-44","$75,000 to under $100,000"
"572","R_4Zt0Xdhrxde38JT","Default Response Set","Anonymous","","","","0",41659.421875,41659.42578125,0,1,"",1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"","50F/50M","Q6|Q26","",325,1,"Q6|Q26",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"576","R_6m5XoljYnyPyRjn","Default Response Set","Anonymous","","","","0",41659.4296875,41659.4375,1,1,"",1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,100,100,90,1,"philippines",NA,"a small city or town","",1,1,NA,NA,NA,50,1,"less than $1000",1,"25-34","female","other","filipino","bachelors degree","","i' rather not say","liberal","This would benefit not o","50F/50M","Q6|Q26","Q39|Q31|Q36|Q42|Q37",690,1,"Q6|Q26",0,1,1,0,0,0,1,0,0,0,100,100,90,1,1,0,"female","other","25-34","i' rather not say"
"581","R_0olROnobNb7SsiV","Default Response Set","Anonymous","","","","0",41659.4453125,41659.484375,1,1,"",1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,40,50,44,1,"india",NA,"a small city or town","",1,NA,1,NA,NA,54,1,"less than $1000",1,"25-34","male","asian or pacific islander","","graduate or professional degree","","less than $10,000","moderate","","50F/50M","Q8|Q26","Q39|Q32|Q36|Q42|Q37",3453,1,"Q8|Q26",0,1,0,1,0,1,0,0,0,0,40,50,44,0,0,0,"male","asian or pacific islander","25-34","less than $10,000"
"583","R_1S13EO6R05ofofX","Default Response Set","Anonymous","","","","0",41659.46484375,41659.49609375,1,1,"",1,1,0,0,0,0,1,0,1,NA,NA,NA,NA,100,100,100,1,"australia",NA,"a small city or town","",1,1,NA,NA,NA,29,1,"$5,000 to $9,999",1,"35-44","female","white","","high school graduate (includes equivalency)","","$100,000 to under $150,000","conservative","","50F/50M","Q9|Q26","Q39|Q31|Q36|Q42|Q37",2734,1,"Q9|Q26",1,0,1,0,0,0,0,0,1,0,100,100,100,1,1,1,"female","white","35-44","$100,000 to under $150,000"
"587","R_ePtHrBI0RTe5aZv","Default Response Set","Anonymous","","","","0",41659.4765625,41659.48046875,1,1,"",1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,100,100,100,1,"slovakia",NA,"a suburban near a large city","",1,NA,NA,1,NA,19,1,"less than $1000",1,"45-54","female","white","","high school graduate (includes equivalency)","","less than $10,000","conservative","","50F/50M","Q7|Q26","Q39|Q33|Q36|Q42|Q37",363,1,"Q7|Q26",0,0,1,1,1,0,0,0,0,0,100,100,100,1,1,1,"female","white","45-54","less than $10,000"
